Monarker;Fødselår;Sikkerhed_Usikkerhed;Dødsår;Sikkerhed_usikkerhed;Regeringperiodens_begyndelse;Regeringperiodens_ende
 Frederik_X ;1968;Sikker;NA;Sikker;2024;NA
Margrete_ll ;1940;Sikker;NA;Sikker;1973;2024
Frederik_IX;1899;Sikker;1972;Sikker;1947;1972
Christian_X;1870;Sikker;1949;Sikker;1912;1947
Frederik_IVVV;1843;Sikker;1912;Sikker;1906;1912
Christian_IX;1818;Sikker;1906;Sikker;1863;1906
Frederik_VII;1808;Sikker;1863;Sikker;1849;1863
Christian_IVVV;1786;Sikker;1848;Sikker;1839;1848
Frederik_VII;1768;Sikker;1838;Sikker;1808;1839
Christian_VII;1749;Sikker;1808;Sikker;1766;1808
Frederik_V;1723;Sikker;1766;Sikker;1748;1766
Christian_VI;1699;Sikker;1746;Sikker;1730;1748
Frederik_IV;1671;Sikker;1730;Sikker;1699;1730
Christian_V;1646;Sikker;1699;Sikker;1670;1699
Frederik_lll;1606;Sikker;1670;Sikker;1648;1670
Christian_IV;1577;Sikker;1648;Sikker;1596;1648
Frederik_ll;1534;Sikker;1588;Sikker;1559;1588
Christian_lll;1503;Sikker;1559;Sikker;1536;1559
Interregnum;NA;Usikker;NA;Usikker;1533;1536
Frederik_l;1471;Sikker;1533;Sikker;1523;1533
Christian_ll;1481;Sikker;1559;Sikker;1511;1523
Hans ;1455;Sikker;1513;Sikker;1482;1511
Christian_l;1426;Usikker;1481;Sikker;1448;1481
Kristoffer lll_ af_Bayeren;1416;Sikker;1448;Sikker;1440;1448
Erik Vll_ af_Pommern;1382;Usikker;1459;Usikker;1396;1439
Margrete_l;1353;Sikker;1412;Sikker;1387;1396
Oluf_ll ;1370;Usikker;1387;Sikker;1375;1387
Valdemar IV_Atterdag;1320;Usikker;1375;Usikker;1340;1375
Interregnum;NA;Usikker;NA;Usikker;1332;1340
Kristoffer_ll;1276;Usikker;1332;Sikker;1329;1332
Valdemar_lll;1215;Usikker;1364;Usikker;1326;1329
Kristoffer_ll;1276;Usikker;1332;Sikker;1319;1326
Erik VI_Menved;1272;Usikker;1319;Sikker;1286;1319
Erik V_Klipping ;1249;Usikker;1286;Sikker;1259;1286
Kristoffer_l;1219;Usikker;1259;Usikker;1252;1259
Abel;1218;Usikker;1252;Usikker;1250;1252
Erik IV_Plovpenning;1216;Sikker;1250;Sikker;1241;1250
Valdemar ll_Sejr;1170;Sikker;1241;Sikker;1202;1241
Knud_IV;1163;Sikker;1202;Sikker;1182;1202
Valdemar _l_den_store;1131;Sikker;1182;Sikker;1157;1182
Svend_lll;NA;Usikker;1157;Usikker;1146;1157
Knud_lll;NA;Usikker;1157;Usikker;1146;1157
Erik_lll_Lam;NA;Usikker;1146;Usikker;1137;1146
Erik_ll_Emune ;NA;Usikker;1137;Usikker;1134;1137
Niels ;NA;Usikker;1134;Usikker;1104;1134
Erik_l_Ejegod;1056;Usikker;1103;Usikker;1095;1103
Oluf_1_Hunger;NA;Usikker;1095;Usikker;1086;1095
Knud_ ll_Den_Hellige ;NA;Usikker;1086;Usikker;1080;1086
Harald_lll_Hen;NA;Usikker;1080;Usikker;1074;1080
Svend_ll_Estridsen;NA;Usikker;1076;Usikker;1047;1074
Magnus_den_Gode;1024;Sikker;1047;Sikker;1042;1047
Hardeknud;1020;Sikker;1042;Sikker;1035;1042
Knud_1_den_Store;995;Usikker;1035;Usikker;1018;1035
Harald_ll;NA;Usikker;1018;Usikker;1014;1018
Svend_l_Tveskæg;NA;Usikker;1014;Usikker;987;1014
Harald_1_Blåtand;NA;Usikker;987;Usikker;958;987
Gorm_den_Gamle;NA;Usikker;958;Usikker;936;958
